2026-04-12 14:09:07 - whisperx.vads.pyannote - INFO - Performing voice activity detection using Pyannote...
Lightning automatically upgraded your loaded checkpoint from v1.5.4 to v2.6.1. To apply the upgrade to your files permanently, run `python -m lightning.pytorch.utilities.upgrade_checkpoint ../../.pyenv/versions/transcriptoz/lib/python3.12/site-packages/whisperx/assets/pytorch_model.bin`
2026-04-12 14:09:25 - whisperx.transcribe - INFO - Performing transcription...
Transcript: [19.387 --> 38.658]  bravo, bravo. Ciao tutti, noi sate. Ciao. Ciao, Joy.
Transcript: [2410.962 --> 2435.532]  della politica monetaria, elevata per così tanto tempo e così resistingenza di per così tanto tempo, ha modificato il modo sostanziale, quelli che sono tutti i mercati secondari e gli swap sui tutti i vari mercati software, piuttosto che degli stessi tenor più lunghi, il modo tale che
Transcript: [2435.887 --> 2464.81]  rendimento effettivo a tuale non possa scendere sotto il quattro per cento perché risultarebbe schonveniente e perggiorebbe ancora di più la situazione in cui gli investitori importanti stanno in fuori situi importanti investitori su questi mercati siamo ovviamente parlando di degli strame gli ardi di dollari di quelli che hanno davvero il
Transcript: [2465.35 --> 2493.363]  il danaro disponibile per fare un uso intelligente di questi strumenti. E quindi è rischio che anche che l'investimento lungo termine questi stessi investitori traferissero già i così, ma ancora di più rollare rischio di tasso, preferendo scadenze corte, quindi i titoli a tre mesi, un mesi, semedi, fino a circa
Transcript: [2493.835 --> 2522.641]  9 mesi, le bila fino a 9 mesi, mi siamo a che sia nontorno al 4% giuditi, o meno lo erano. Per cui, questo è un livello del logo, questo è di quando si va insomma. Però dopo questo ultima cosa, dello suddown, che era sempre una cosa possibile, quando circoluno di così, travi a rigolette a rivoluzionario, oppure che arriva e tenta di stravolgere tutto,
Transcript: [2522.962 --> 2547.38]  però non c'è lo si può aspettare e non ci si può teva assolutamente aspettare magari chi quello che è che è stato della trolacina e ulteriori dati imposti fondamentalmente il mercato sia aspetti che si aspettà che ha dicembre cominciando a prezzare che ha dicembre la fed con il loro
Transcript: [2547.937 --> 2567.09]  SAP, SIP, le proiezioni sommare delle proiezioni economiche trimestrali di chiarino di essere ancora più aggressivi, con il taglio dei tassi, questo ovviamente è una spettativa, però iniziamo al prezzarla.
Transcript: [2568.17 --> 2596.064]  e vedete come infretta, le cose possono cambiare ovviamente, bisogna vedere, poi faciona da esempio a profondite che io non ho ancora fatto, magari nei prossimi 10 giorni, nei 20 giorni, io ne entanto vedere cosa farà la fed a fine mese con le prossimi omiti, in che sicuramente tagliaranno, perché hanno dichiarato di farlo, e sotto Pawello e Ricordiamoci quando dichiarano qualcosa,
Transcript: [2596.368 --> 2616.263]  l'anno sempre mantenuto. Quindi sicuramente taggerando però dal punto di vista di del dire qualcos'empio riguarda di cembre taggerando perché sono obligati a tagliare però dal punto di vista della
Transcript: [2617.951 --> 2647.769]  un po' più avanti nel tempo non lo so perché non hanno da non hanno avuto nessun dato di stondizione a parte dei quelli indipendenti perché abbiamo avuto soltanto e il lascio dei dati della SMP Global nei ultimi i ultimi dati che sono usciti sono all'ora questi non sono abbiamo avuto il PMI della SM che è un'interno
Transcript: [2648.157 --> 2676.524]  è un istituto esterno. I principali sono la BIA e la BLS. Quindi le sempligloval e la DPSM sono esterni e loro possono fare quello che vogliono sono finanziati da fondi privati, o comunque sono finanziati in altro modo, e quindi possono relaciare i dati economici. Nel tutte quelle che sono le funzioni governative della
Transcript: [2677.199 --> 2705.887]  di guardanti il censimento, il lavoro, l'inflazione, la crescita, non escono, quindi ci siamo paresi un sacco di roba e anche loro, che metteranno una nostra disposizione granche. Ho detto che il distituto del dipartimento del BLS, rilassera i dati su'inflazione in ogni caso, di pare il 24 di ottobre, ma potrei sbagliarmi.
Transcript: [2706.359 --> 2735.367]  quindi forse quello l'interno dell'effensi entrerà. L'effensi se non ero e il codo quando è qualcuno si ricorda quando è il prossimo effensi. Mi andiamo per da subito. Tutto un meeting calendar.
Transcript: [2738.708 --> 2768.645]  il ventotto, il ventotto si è unico andato bene che è la fine perché non c'è lo qua, perché non l'anno messo solamente perché venti nuove, venti nuove, non vedo. Ah, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco, ecco
Transcript: [2769.472 --> 2798.783]  vedremo un po' che la succede e cosa dirà? Gli meeting di intermezzo, quelli di non trimestrale, non interrompono mai un ciclo avviato di hike o di cat, pensando di avviato settemba di ciclo di cat solitamente non interromteranno a un meeting di intermezzo, quello che possono fare
Transcript: [2799.053 --> 2821.092]  e che fanno comunque e farlo nei mettinge trimestrali. Quelli più portati, però in ogni caso la BLS, il CPI, infatti, quello da non come sconosciuto, ma come ti so. Il CPI verrà il BLS lo relacero.
Transcript: [2821.582 --> 2849.105]  quindi almeno questo dato la fredde ce lavorare probabilmente lo relasiono possa per la fredde per votare di permettere di insomma di avere un dato su cui continuare. Quello che guardavo è che iniziennovo ciclo di relascio, di rendimenti degli alleni. La prossima settimana relasiono tutte le grandi baniche.
Transcript: [2850.286 --> 2877.775]  probabilmente non avendo da ci ovviamente inizio da la prossima settimana saremo li a digerire ancora quello che succede venerdì, perché ovviamente tutto quanto in giovediene venerdì, ovviamente ci sono tensioni geopolitiche, gli occhi sono tutti puntati su israeli, palestina e sull'atto se sia da un lato, sia dall'altro verrà mantenuto questo è quarto o quinto quarta quinta trattativa di pace
Transcript: [2878.383 --> 2906.125]  vedremo se va realmente inutere se ne sono sitiere una bomba e speriamo di nuovo perché un po' per agente in ogni caso la prossima settimana come dicevo le big banks relationo quindi tutti gli occhi puntati a i earnings dicei più Morgan, Goldman Sachs, Morgan Stelli, a ben cofamere i casiti gruppo quel fargo si sostiene si pensa che è ovviamente
Transcript: [2906.412 --> 2933.767]  siano cresciuti però vediamo come dovrebbe dare movimento se si dovesse essere qualche sorpresa e sarebbero da guardare tanto non beuncazza da guardare perché altro da di rilasciato non c'è sarebbero da guardare magari anche i le dichiarazioni dei lasciato intorno per vedere cosa ne pensano uno che zone buona per
Transcript: [2934.475 --> 2962.1]  per il suo delle grandi banche, per relasciare qualche direzione, qualche opinione su quello che sto succedendo e avere qualche insaita anche da parte loro ovviamente parleranno al passato, senso non daranno nessuna grande previsione perché così, però insomma vederò un'atimo come il mercato reagisce, entorno a questo, tanto essendo che non abbiamo niente da qui a grappasi sicuramente
Transcript: [2962.724 --> 2990.197]  se ci fossero sapere da appunto c'è grapperemo questo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di tradurlo, di
Transcript: [2991.31 --> 3019.188]  diverse metodologia di andremo in progresione perché tutto nasce adesso vi spiegono anche un attimo questa cosa tutto quando detto l'inizio della chiamata che questi settimano che non avevo voglia di esplora rapiditando questa nuova situazione con la bla bla e quindi mirare a incrementare il che profitto il movimento o aumentato la size e sono andato
Transcript: [3019.711 --> 3049.023]  a fare più scalte in parecchio, scambiando anche 80-90 lotti per giornosso zb ovviamente in clip da 3 o 5 lotti e quindi inizieriamo da quello da lo scalping da come dalla microstuttura, da come prendersi primitiche, ho fatto su zb, non ho faremo su gn di penne, un po' come si vuole fare e quelle molto molto effervamente
Transcript: [3049.36 --> 3076.377]  associabile a quella che è detto intermene di liquidità dal situazione corrente. Ad esempio, ciclicamente questo trimestre andando verso dicembre è solitamente molto voluminoso e i regi sono molto voluminosi sia i limiti che ovviamente al
Transcript: [3076.732 --> 3101.369]  al centro, sto parando dei rengi di tre ticche, ed è la tua option che andremo sull'endremo a scalpare. Invece dato che non c'è granche da vigierire ci questa sorta di incertezza e cerrischio che quasi si cosa colpisca il mercato il modo completamente in aspettato, la liquidità
Transcript: [3101.588 --> 3130.175]  e tenuta all'imite della decenza per mi verrebbe da dire, nel senso che è sempre in un qualche modo aperta e sare più velocemente rimossa, permettendo la datamento più rapido al sottostante e a quello che sta succedendo in un dato momento. Quindi dal punto di vista dei nostri scalping è un po' complicato nel senso che bisogna
Transcript: [3131.002 --> 3160.381]  reagire molto più infretta, bisogna andare un po' più ad anticipare quello che potrebbe essere il range o dove ci potrebbe essere un reversa lo ho più tostso che andare con dei piccoli, i simi bucchi di liquidità è un tentativo di momento, quindi non è facile essere fiddati in una situazione di genere quello che entendo con un limite
Transcript: [3161.258 --> 3190.925]  quindi si tendo in questa situazione magari essere un pellino più propenso, ma non esageratamente a usare i market order non come vi usare ai quando sento che ci sa che c'è un momento e che è un movimento può continuare con le prope gambe perché o una visione chiara della narrativa e so quale generalmente la direzione una volta che viene intrapresa nel senso
Transcript: [3191.313 --> 3219.899]  come avevo detto la travoltà quando c'è un trend sulla tesoria il trend continuo. Non c'era niente da andare contro qua nel senso invece quella situazione che è un po' così sono tutti questi range un po' difficile in i fatto che si muove rendice
Transcript: [3220.22 --> 3249.413]  però non ti dai filla dove vuole si dove vorrei estivini e un po' una cacca però in ogni caso non iniziamo da quello andando avanti e andiamo iniziamo allo studia della microstuttura e da come il tervendere vantaggio e da la retura di liquidità e di devolù in questo in nel senso stretto però poi andremo abbastanza e rapidamente a vedere come il tentare di profittare di più
Transcript: [3249.869 --> 3276.886]  da i movimenti più anti. Ovviamente poi questo vi darà una possibilità o di limitarvi a continuare a fare uno scalpi in stretto, oppure quanto meno di avere una possibilità di farlo nei momenti in cui non sapete che il caso sta succedendo, quindi non sapete come si sta compornando il mercato e non sapete ancora quale sia la condizione concreta,
Transcript: [3277.392 --> 3307.379]  anche perché non ci va, non ci avvolte non è sufficiente una sola sessione, pericono essere un cambiamento, magari ce ne vogliono due, quindi bisogna anche tre insomma se si tratta magari poi di un ciclo di riquidità sul vostro mercato particolare, quindi ci chiama a guardare tutta quanta la curva, ci limitiamo un pochino di più, guardiamo solo più tre strumenti, quindi i due i 10 e i 30, avendo un
Transcript: [3307.565 --> 3336.202]  punto di di bilancio centrale e vedendo come ci si vuove i bordi una cosa del genere per Darwinidea, se si va a limitare decisamente oppure di ritora guardando un solo mercato però usando diversi punti di vista, nemmo vedere come lo utilizzario ad esempio per questa settimana avevo sul soltanto GN, GB, nessuna certa, si era completamente chiuso, utilizzato esclusivamente
Transcript: [3336.86 --> 3361.818]  e due dom centrali uno sopra l'altro, quindi neanche volevo vedere il movimento relativo della curva uno rispetto l'altro che non mi interessava in questa situazione. E solo diversi tulle di ad donne di buco mape e hit map strutturati in un maniera diversa per riconoscere diversi tipologie di informazioni che mi servivano.
Transcript: [3362.392 --> 3387.518]  quindi andremo a vedere più questa parte qua che questa è di po' già gli trenerini che ho fatto per questo settimana e poi vedremo invece come essere più pronti a fare queste cose qua. Dettucio, punto io anche questi 10 giorni non ho fatto niente, non ho fatto anche se mercati perché mi sono incaldinato con dei altri lavori e ci ho messo pure
Transcript: [3388.143 --> 3417.657]  mi sono ritrovato a d'organizzare un carro per l'assuppare dei deditori ino e quindi sono preso tutte le responsabilità e quindi niente era incadinato e quindi niente devo lavorare in ogni caso da questo punto di vista per cui c'è sempre ripiego di poter fare qualcosa anche se me e l'autornino di buonete e niente io con le mie caggata per il finito
Transcript: [3419.294 --> 3447.914]  diciamo che era un po' quello che voglio dire e ribadisco un prossimo settimana ochi su come a te ochi sui utili delle grandi banchi e magari le dichiarazioni intorno e redascio dei decoso vedere come si evolve e come non sono sinceramente quanto lungo possa continuare questa cosa non lo posso dire non è la più pale idea
Transcript: [3448.505 --> 3476.618]  non lo so se questo è, abbiamo ovviamente negli ultimi 10 giorni, il loro me che gesto a tagliare incredibile. E una un'altra cosa che successa durante la note, infatti che il movimento iniziato già da qui, allo intanto, appunto, facciamo un bel vero e capcina che annuncia una limitazione sui exporti dei materi delle terredare.
Transcript: [3477.243 --> 3504.884]  Secondo, il partito, giapponese è andato banane, quindi è una cosa abbastanza potente, perché gli statiniti sono estremamente collegati con giappone e giappone storicamente sempre stato dalla seconda guerra mondiale e gli statiniti con giappone sempre fatto quello che volevo ed è ancora così, fondamentamente o almeno. Gli giappone dice l'anno entrinsa con la cultura,
Transcript: [3505.272 --> 3526.332]  e nel loro politica che è così abbasta. Quindi già pone sempre qualcosa che assorbe l'equita degli statuniti, e sempre gli statuniti, gli statuniti, lo giene e solamente collegato, c'è che ha ritredo tutte queste cose qua.
Transcript: [3527.092 --> 3556.37]  Quindi, in l'azzeria risponde molto all'ennunione relativa è all'OIN, così come il Franco's Vizio, il Franco's Vizio, però è un altro motivo per il Franco's Vizio, per esempio, c'è motivo che l'azzeria è un'imposto sicuro, quindi in situazioni di vuoi adaptere i tensioni e di accumulazioni di incertezza, vogliamo vedere la correlazione
Transcript: [3556.64 --> 3586.357]  iniziale di almeno lo suissi, quindi la Francois Vicero, Jan e Bond che apprezzano e poi si può materializzare eventualmente in una vendita di negli indiziazionali americani. Lì abbiamo l'arrisco stesso completo e una validità aumentata su tutti i convolti
Transcript: [3586.897 --> 3612.901]  e diventa facile in quel caso andare con il momento, se se per caso questo continuano i prossimi due tre giorni, benvengo, se è l'une di gioco, ad esempio continuasse e se pico continuato a vendere gli omulmetto di metto suon che il Dom DSPX è l'otrato sembecento su correlazione. Quando vedo un 3 del subzieno sull'opi Bond entrusti a sui Bond
Transcript: [3613.171 --> 3641.656]  e sia prenderla con la posizione contrario a sua micro ES, su micro ES, usa micro per poter aggiungere, in cui sono già in profitto e andare qui movimenti più grandi, quindi mi costruisco una posizione di base. Ovviamente non è tecchio come questo, salterà a destri, ma anche mentre magari continuo a vedere i bonde in salita, il riscoff in perdura,
Transcript: [3642.23 --> 3671.221]  e quindi mi costruiscono a polizione intandovi questa guadagna tra come esicione che da ES, insomma vediamo un po' come saranno. Le mande, o di cosa vorrei usare parlare ancora, io poco tempo ancora. Ma non ti qualcuno ha scritto qualcosa. Io ho visto io, l'ho fredevo senti in generale.
Transcript: [3671.423 --> 3699.537]  Si può essere qualche libro che tu continui per comunque con solidare tutta quello che concerne la parte macro, comunque per capirne un po' meglio. E ho fatto macro, però copiato, quindi non ma lo ricordo. Certo, allora cosa che non sono delle macciate sul collo, c'è ne ben poca sinceramente, però ci sono dei documenti particolari, per esempio quello che ha postato
Transcript: [3700.482 --> 3729.575]  quello che ha postato che ha ripostato Federico su quantisse se quello di monta intreddere. Spetta, però posto qui. Ci sono dei documenti. Allora, devo recuperare perché non mi ricordo il titolo di però i PDF e mi posto qua sul Discord, la bene, che non sono, perché non ero, badacierte, a che quindi sono delle matzate, che non hai voglia direggio, ma attone da 600 pagine,
Transcript: [3729.963 --> 3755.242]  però che coprano almeno le cose, le cose non modono un po' più spiccio e non tecnico perché non dovremmo mai prezzare dei bond per un cliente, non c'è flagagnente, e li blie sulla macropotropone sono pieni di storoba e quindi si trovo dell'arobete la posto qua sul discord. Bene gra, anche tipo le mastate non per me attudamente andrebbero bene.
Transcript: [3755.68 --> 3784.233]  Di alcesso dire tutto quanto, però non mi ho avrei caricare di cosa che magari per adesso non hanno tanto studiare, magari in futuro sia. Certo c'è. Faccio una selezione e una posto tutra qua. Altri. Ok, gra. Voi te dire qualcosa? Io non lo mando. Sì, giò i nimi. Allora, l'inizio, ha visto che ancora subiamo l'influenza di quello che è successo con covid. Sì. Che la mia domanda è.
Transcript: [3785.195 --> 3813.68]  Tu cosa che aspetteresti di vedere, c'è per anticipare un cambio di ripresa magari, lo quello che è successo? Un cambio è noti l'anticiparlo, perché io non sono in investitore a lungo termine e ho la poterevi a potermi adattare la giornata, alla settimana al mese e al microciclo trimestrale economico. Per cui, tendenciente io non mi aspetto mai nulla, però
Transcript: [3815.283 --> 3843.38]  allora un cambio ed è difficile da diarsi sinceramente nel senso che essendo che viviamo il momento non lo vediamo ed all'esterno nel senso e come stigast. Definire questo momento e chiamarlo come cambio, il facile da fare
Transcript: [3844.122 --> 3872.962]  dopo vivere il cambiamento, è una altra cosa. Non so se mi sono spiegato. Io ho capito. Potrebbe che non ci potrebbe essere che non ci sia anche ad andare una tempissica sul cambiamento di quando la situazione potrebbe tornare un po' di più all'anormalità, ma che poi che cosa vogliono malità dell'anormalità del 2015.
Transcript: [3873.687 --> 3897.295]  non è la normalità di oggi, forse stiamo vivendo una nuova normalità. Quello che c'era non esiste più parte dei passati e dei sui diversi di storie. Quindi, in nuova normali possiamo chiamarlo. La situazione particolare nel senso che potrebbe essere
Transcript: [3899.32 --> 3927.569]  tanto ci è sempre qualcosa di drastico che si chi capita e sconvolggettuto in un modo nell'altro. Vedi 2018, vedi 2018, vedi 2019, parlando di storia decente. In 2018, tempo che ammala pena ci si riprende, però noi non l'abbiamo visto in un modo in cui abbiamo visto un legari, però guerra ci è sostenere che in passato nel 2014, o in tornolì, sempre tra russia e
Transcript: [3927.974 --> 3953.86]  e la crimea, quindi c'è sempre qualcosa, qui tempi c'era ancora l'iracca, c'era la plug-anistan, c'iclicamente, isolare le siterà la macciate, cogliare a bentorno, c'iclicamente succedere a questo, quello altro, parlando, c'iclicamente qualche banca centrale, fa qualche stronzata, che influenzera la liquidità di tutto il mondo,
Transcript: [3954.282 --> 3983.341]  Quindi è inutilata. C'è per me come traida le non investite ore abbastanza inutile. Farmi degli origensi che sono oltre ai tre mesi. Posso dire semplicemente quello che agrappando mi un po' a quelle che è la poetica monetaria attuale e mi posso limitare solo ad un trimestre. Mi avvisione non può andare oltre al trimestre. Per una naturalità, per la natura di quello che faccio.
Transcript: [3983.948 --> 4011.438]  diciamo che quando andremo poi a vedere un po' di più anali di tutti gli strumenti che esprimono risconfazione, rischio crescita risquetasci e quant'altro vedrete proprio questa cosa dell'amute del cambiamento continuo, di non solo dell'espetativa mia ma di tutto quella del mercato, ma drastica, quindi l'espetta di una infrazione si è cambiando in continuazione
Transcript: [4012.4 --> 4039.501]  la spettativa i sui tassi che vi prezzano in continuazione e molto molto difficile, per cui è proprio non nel mio gioco, assolutamente. Noi. Francesco hai detto che cercavi un un articulo, se non sbaglio prima. Francesco è caduto dalla serie.
Transcript: [4042.184 --> 4060.679]  Ma hai che qualche domanda, tu ho un migliaia? No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,
Transcript: [4061.742 --> 4089.198]  un rapporto su comunque l'entrate, etc., e poi aveva la becordesione VIX, come siamo in oggi, come la situazione. Invece per il discorso investimento effettivamente rificile.
Transcript: [4090.953 --> 4115.978]  un'economo su di scordere su quanti, su qualche giorno fa, se se ancora crediamo nel bias di DLSP e sono vaglie metodologia di lavoro sul long, però l'onge non trameci se i miei di long è un anno due anni.
Transcript: [4116.94 --> 4146.269]  e quello li però poi è un altro sport, noi qua, siamo decento metristi, lavoriamo sui 5 minuti, un minuto, eccetera. Se vuoi fare con l'altro gioco, l'avori su un'andue anni, per cui è un po' la differenza di appropso che ha un sistema che l'insta o un martoneta, sempre corono però
Transcript: [4148.007 --> 4165.608]  su due perparazioni totalmente diversi due visione diversi e tutto un'altra roba. L'ammi puto di vista, non sei perché dice ok, io corro, però una roba è fare 100 meterna a fare un'altra cosa fare 42 km.
Transcript: [4167.262 --> 4194.633]  come dire. C'è cambiato? C'è così. Oi, sì, cam. No, e proprio... D'un punto da un certo punto di vista è proprio il nostro poterele, senso che da magari non tutti conoscono questa tipologia di c'è una certa via di intermezzo tra l'oridonte
Transcript: [4195.915 --> 4225.058]  molte anno da investitore pieno e il 3 del centro metriista che potrebbero essere i 200 metri diciamo ed è ad esempio il fare 3 di ingesso sulla sui sprede della curva che proprio per loro stessa natura ti dimitano a non poterzi esprimere oltre il trimestre perché altrimenti deve incassare la scarenza dei fiusciursi quindi poi
Transcript: [4225.936 --> 4253.29]  ovviamente guidando per fare fare valere la pena in qualche modo usando strategia anche ria abbastanza precisa e è un po' di sainza soprattutto però da investitore diverse ovviamente non si tratta più di un lotto due lotti però magari costruire se la posizione di 20 lotti su uno spread basato su
Transcript: [4253.611 --> 4281.455]  sono spreda dei esempio, tutti ci ho voglio giocarmi la curva e lo sprede sulla curva, sulla price structure di software, e ti prendi il tuo dicembre di quest'anno e ti prendi tuo c'è la scarenza attuale e quella di dicembre del anno prossimo e fae un discorso di trading sullo sprede.
Transcript: [4281.978 --> 4309.889]  e quindi però quello ovviamente ti limita nell'orizzante temporale nella natura, quindi c'è quella via di mezzo del trimestre su trimestre. Na se se cosa puoi fare, puoi fare sprede tre ringo sulla sulle varie parte della curva, quindi il due anni contro gli eci, quello classico e insomma, il 5 contro il 30, cosa di questo tipo,
Transcript: [4310.142 --> 4335.151]  che prendono, ci sono scredde min revertingue, e ci sono invece scredde che rappresentano di più, lo stipene, quindi guardando solo sul distanziamento, di esempio, il 10-30, non so verbozza, di esempio, per dire mi sembra, però non sono un gran chialo, a trodare estredde su bonde, però non so il senso, quelli sui saucer, e quindi su gli stiere,
Transcript: [4335.691 --> 4362.016]  Però, per esempio, prezzano sulla largasio, le restringerci dello sprede in base a quale direzione prendi, non quindi su slettene, non sullo stiffeninge. E quindi anche quello in granbella, ma in modo di trailing, c'è un avido medzo. Ho fatto, diciamo, sempre si fiusur, ma praticamente sulle scariente diverse, ma
Transcript: [4362.016 --> 4378.958]  non non sulle si bond ma in generale. Splicamente ci sono statisticamente delle ricorrere in se su cadente diverse dell'assessuto stante e
Transcript: [4379.482 --> 4399.58]  se vai l'ongosciorte, eccetera, eccetera, però è più di una piata forma che comunque ti dice che l'ultimi decenni se sei l'onga sui che ne so a bossoi sulle carne di dicembre, sciorto sulle carne di
Transcript: [4400.339 --> 4430.275]  non vembre la butoli ai 90% di probabilità che ti vada bene, eccetera eccetera e effettivamente funziona in generale. Sì, si bonda diciamo i tipi diversi di bondo non ho mai fatto. Quello quello che fate sui sull'istessi solo stessi sull'ostante mascadente diversi anche perché così ai al livello di margini
Transcript: [4430.275 --> 4456.077]  Una bella. Si troverà che tu agio ad esempio fare di lo resti a tu agio fare trading sulle scadenze dei software che è un metodo di trading molto... che sai come crearti un'idea e molto molto bello. Perché va direttamente a tradare sulle aspettatività di tassori interesse.
Transcript: [4456.718 --> 4485.524]  che abbastanza è relativamente facile, per aver guardato facile, perché hai le proietzioni stessa della banca centrale ad aiutarti, come punto di ancoraggio, e quindi base a quello che tutti aspetti e abbastanza è relativamente semplice. Lo fanno molti, lo stirtrai di incisione documentari bellissime dell'intervista.
Transcript: [4485.997 --> 4512.98]  solo stierre trading, solo sciolta e l'interestroids trading, lo si fa da sempre fondamentalmente, e gli sono dei trailer gigantesci, se già i bonde sono distanti anni luce dal rimaginario collettivo, lo stierre trading è ancora di più una nique, e meno male vorrei dire.
Transcript: [4513.891 --> 4543.709]  E' quello che cerchiamo, no? Sulla! Sulla! Per quanto riguarda il trading sull'am... Sempo il diveno un po' di la cazza di sempo il dio dove sta alla... Spetta, se non trovo... Per che mi sovete nella sempo il dio... Va bene, non trovo... Sto qua un'ora, in pazzire, con trovo...
Transcript: [4545.008 --> 4573.595]  Non, non, non, non, non, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,
Transcript: [4574.084 --> 4599.835]  limitato trimesteramente con sulla forma della curva, che andremo anche a vedere a coprire nel programma. Ci sono gli intercommodi e gli spredzi, che sono degli strumenti predefiniti dalla filmi e hanno degli sconti sul margine o vernaete fino al 90% o 80%.
Transcript: [4600.51 --> 4630.43]  e perdenere da un giorno l'altro sono fatti apposta in base a loro direttamente di dando la ratti o di dando tutto quanto del front, il back, quanti di perfallo, ecco e tu compri direttamente questo strumento senza doverti costruire lo spre de tu per analizzare l'igraficamente con viene sempre comunque plotarsi una spre de costruito con la ratti o data da loro però
Transcript: [4630.649 --> 4657.396]  almeno a titoli, il problema di calcolarti, il doll'arvalio e tutte queste cose qua. In base a no diversi nomi alcuni di questi, la gente, in esempio, sul server mistero da sua uritiene che ci sia dell'edge, nell'usare le peretragne, le itade, ma assolutamente quelli che lo consigliano sono quelli che non si sono mai specializzati in niente.
Transcript: [4657.75 --> 4670.187]  insomma va a cercare di includere un botto di informazioni in utili anche perché chi lo utili invece in date o date che è specializzato solo in questo, fa solo quello in un altro discorso.
Transcript: [4670.947 --> 4696.377]  Per esempio il knob e il knob soverbond, il boob, anche il tipo on de contro l'ob e il contro l'ubi diciamo che se ritiene abbia dal potenziale nell'anticipare movimenti su ZB-UB, però non ho mai voluto approfondire perché sinceramente
Transcript: [4696.563 --> 4724.896]  le cose che ho a disposizione, ho mi sono dato un limit, un certo punto di dire un limit e mentre altri sono alla costante ricerca dell'oligraile, un certo punto bassano, le cose funzionano e vai a consolidare quello che sai che funziona e piuttosto non lo abbandoni se smette di funzionare appunto perché cambiano le situazioni di quita o di se buscione di volume, ma
Transcript: [4725.318 --> 4753.027]  imparì a datarti, a leggere le condizioni che quello che nessuno fa, su server dimistro del flow, io c'è lo come semplodi, diciamo per fare una nale di demografica. E' proprio ciclico. Sono tutti per il one tick scalping, piva, cazzo, usiamo la size. Poi tack, usmete di funzionare a cambiare situazione di liquidità. BAM, arriva un altro gmsi e dice
Transcript: [4753.111 --> 4779.892]  Guardate che si guardate il nobe per anticipare questo e quell'altro è fatta spredtrain, ingavrete la EG migliore del mercato, allora bami, cicro degli spredd e poi invece ritorno a sui codi, sai è un saltare, destra, sinistra, a ricercare le codi, io sinceramente non non lo so portono. Comunque. Io da quello che ho visto è sicuramente magari
Transcript: [4781.073 --> 4810.115]  sono parte modalità però alla fine si segue un po' se ti fa e di licenare a meno per le stock normale per i Bond io sono una capra e per le stock una volta che se chi hai licenari collegate la volatilità dai tantarobo, se la volità vuolatilità in una maniera ti comporti in una maniera
Transcript: [4810.435 --> 4833.605]  da l'altra parte di comporte nell'altra, comunque delle estrategie funzionano tutte, non funzionano nessuna, secondo delle... come va al mercato, senso che qui bondosti è un qualcosa del genere, sono tutte buone, sono tutte sbagliate, dipende. Nella debilità del 5 grande video individo.
Transcript: [4834.685 --> 4862.933]  Esatto, se capisce che sei in un mercato dove con la strategia funziona, usi quella, se capisce che sei in un'altra condizione per che le metri che sono cambiate, ne devi dirvi più di un'altra, basta. Dà dire, io non ci sento. Comegliaia? Ma, sì. Ma, ma, il silenzro, stai falando per tenere un'assento più con un'altra.
Transcript: [4863.777 --> 4889.9]  Se va parlando Francesco? Mi sentivi? Ah, spetta. Ah, se rientravo, infurze non va. Poi siamo ancora intime? Flate di senso. Allora, è rientra che furammeva fatto uguale, però sentivo che che attava. Sado bene. Per tutta cosa, settimamente, il Francesco parlavo, mi sa che non è sentito a niente.
